timestamp,host,device,op,rows,skew,str_cols,rmm_pool,gap,iter,wall_ms,gpu_ms,sm_mhz
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,0,262.78,262.748,585
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,1,48.638,48.619,585
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,2,47.914,47.892,585
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,3,48.741,48.716,585
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,4,48.774,48.747,585
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,5,39.983,39.957,585
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,6,32.753,32.728,1440
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,7,32.671,32.649,1440
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,8,32.534,32.509,1440
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,9,31.411,31.39,1440
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,10,32.148,32.125,1440
2026-07-14T09:46:01.540878+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,1.5,2,default,0.0,11,29.901,29.88,1440
2026-07-14T09:46:17.640862+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,0.0,2,default,0.0,0,179.708,179.667,585
2026-07-14T09:46:17.640862+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,0.0,2,default,0.0,1,29.133,29.112,585
2026-07-14T09:46:17.640862+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,0.0,2,default,0.0,2,28.895,28.875,585
2026-07-14T09:46:17.640862+00:00,c22d96fc7ec5,Tesla T4,groupby,10000000,0.0,2,default,0.0,3,28.803,28.778,585
