timestamp,host,device,rows,skew,str_cols,rmm_pool,iter,time_s
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,0,0.278905
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,1,0.028125
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,2,0.028091
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,3,0.028879
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,4,0.026262
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,5,0.026174
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,6,0.031795
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,7,0.028098
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,8,0.02757
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,9,0.031988
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,10,0.038156
2026-07-14T09:32:31.239994+00:00,e466071444e4,Tesla T4,10000000,0.0,0,default,11,0.038991
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,0,0.090139
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,1,0.046151
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,2,0.045183
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,3,0.044481
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,4,0.045155
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,5,0.044238
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,6,0.036097
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,7,0.028491
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,8,0.029177
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,9,0.028182
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,10,0.029064
2026-07-14T09:32:37.766738+00:00,e466071444e4,Tesla T4,10000000,1.5,0,default,11,0.028312
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,0,0.116276
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,1,0.030217
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,2,0.029183
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,3,0.029278
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,4,0.027299
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,5,0.027184
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,6,0.026129
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,7,0.026329
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,8,0.026093
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,9,0.026522
2026-07-14T09:32:49.040590+00:00,e466071444e4,Tesla T4,10000000,0.0,2,default,10,0.025981
