timestamp,host,device,op,rows,skew,str_cols,rmm_pool,gap,iter,wall_ms,gpu_ms
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,0,249.187,249.161
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,1,47.342,47.329
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,2,48.233,48.219
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,3,47.384,47.37
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,4,46.535,46.522
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,5,53.268,53.253
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,6,44.291,44.275
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,7,35.024,35.01
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,8,32.364,32.348
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,9,31.753,31.737
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,10,38.737,38.722
2026-07-14T09:39:06.113121+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,0.0,11,38.689,38.675
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,0,77.184,77.155
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,1,28.763,28.75
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,2,28.632,28.619
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,3,29.914,29.903
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,4,28.518,28.507
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,5,28.607,28.596
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,6,24.437,24.426
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,7,23.185,23.175
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,8,23.147,23.138
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,9,23.903,23.892
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,10,23.035,23.026
2026-07-14T09:39:20.693341+00:00,054e11b76c95,Tesla T4,groupby,10000000,0.0,2,default,0.0,11,23.059,23.046
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,0,121.294,121.262
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,1,48.248,48.218
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,2,47.907,47.878
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,3,48.003,47.968
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,4,47.648,47.616
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,5,47.172,47.143
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,6,47.893,47.843
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,7,47.451,47.419
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,8,67.117,67.083
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,9,47.246,47.218
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,10,47.906,47.875
2026-07-14T09:39:57.007327+00:00,054e11b76c95,Tesla T4,groupby,10000000,1.5,2,default,2.0,11,47.283,47.253
2026-07-14T09:40:10.942203+00:00,054e11b76c95,Tesla T4,sort,10000000,1.5,2,default,0.0,0,202.224,202.199
2026-07-14T09:40:10.942203+00:00,054e11b76c95,Tesla T4,sort,10000000,1.5,2,default,0.0,1,150.839,150.803
