timestamp,host,device,rows,skew,method,iter,time_s
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,0,0.029094
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,1,0.028552
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,2,0.02865
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,3,0.028499
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,4,0.028738
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,5,0.028496
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,6,0.028598
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,cudf,7,0.028683
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,0,0.012403
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,1,0.011698
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,2,0.01174
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,3,0.011562
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,4,0.011086
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,5,0.011632
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,6,0.011524
2026-07-14T10:18:17.671592+00:00,c22d96fc7ec5,Tesla T4,10000000,1.5,hha_prototype,7,0.011113
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,0,0.038534
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,1,0.038368
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,2,0.038407
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,3,0.038918
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,4,0.038352
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,5,0.038339
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,6,0.038266
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,cudf,7,0.038188
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,0,0.016478
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,1,0.015494
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,2,0.015748
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,3,0.015364
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,4,0.015322
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,5,0.015644
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,6,0.01535
2026-07-14T10:18:22.176839+00:00,c22d96fc7ec5,Tesla T4,10000000,2.0,hha_prototype,7,0.015565
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,0,0.020439
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,1,0.021615
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,2,0.022003
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,3,0.033962
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,4,0.030068
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,5,0.031908
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,6,0.025112
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,cudf,7,0.032902
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,0,0.035304
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,1,0.008126
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,2,0.007621
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,3,0.007465
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,4,0.007545
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,5,0.007886
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,6,0.008754
2026-07-14T10:18:26.619958+00:00,c22d96fc7ec5,Tesla T4,10000000,0.0,hha_prototype,7,0.007331
