timestamp,host,backend,backend_version,device,op,rows,n_keys,skew,str_len,warmup,reps,median_s,times_s,seed
2026-07-14T08:35:59.926124+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),groupby_agg,1000000,,0.0,12,1,5,0.130475,"[0.132656, 0.157338, 0.110734, 0.130475, 0.104557]",0
2026-07-14T08:36:01.283965+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),inner_join,1000000,,0.0,12,1,5,0.243943,"[0.263316, 0.243943, 0.159083, 0.196843, 0.267964]",0
2026-07-14T08:36:04.489217+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),sort,1000000,,0.0,12,1,5,0.547484,"[0.562293, 0.907288, 0.547484, 0.315096, 0.330897]",0
2026-07-14T08:36:04.775457+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),filter,1000000,,0.0,12,1,5,0.041573,"[0.064967, 0.041573, 0.042847, 0.037868, 0.04016]",0
2026-07-14T08:36:06.426324+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),str_contains,1000000,,0.0,12,1,5,0.219262,"[0.219262, 0.176596, 0.198138, 0.353807, 0.355792]",0
2026-07-14T08:36:07.808037+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),str_replace,1000000,,0.0,12,1,5,0.207797,"[0.208977, 0.207038, 0.200879, 0.207797, 0.224101]",0
2026-07-14T08:36:07.929323+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),rolling_mean,1000000,,0.0,12,1,5,0.019267,"[0.019267, 0.019534, 0.01874, 0.020056, 0.018891]",0
2026-07-14T08:36:08.485967+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),groupby_agg,1000000,,1.5,12,1,5,0.026011,"[0.026021, 0.026998, 0.025206, 0.025902, 0.026011]",0
2026-07-14T08:36:09.010271+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),inner_join,1000000,,1.5,12,1,5,0.087575,"[0.093754, 0.078512, 0.093385, 0.087575, 0.076707]",0
2026-07-14T08:36:10.395578+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),sort,1000000,,1.5,12,1,5,0.225449,"[0.251852, 0.225449, 0.229584, 0.22151, 0.214925]",0
2026-07-14T08:36:10.572241+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),filter,1000000,,1.5,12,1,5,0.028429,"[0.033216, 0.028429, 0.02817, 0.030417, 0.027663]",0
2026-07-14T08:36:11.613664+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),str_contains,1000000,,1.5,12,1,5,0.165441,"[0.193779, 0.170659, 0.165441, 0.161972, 0.162927]",0
2026-07-14T08:36:12.798558+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),str_replace,1000000,,1.5,12,1,5,0.195712,"[0.212843, 0.195712, 0.19582, 0.189881, 0.191924]",0
2026-07-14T08:36:12.922464+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),rolling_mean,1000000,,1.5,12,1,5,0.017526,"[0.017307, 0.017509, 0.017526, 0.030274, 0.022681]",0
2026-07-14T08:36:20.611266+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),groupby_agg,10000000,,0.0,12,1,5,0.518820,"[0.535096, 0.505377, 0.51882, 0.505234, 0.521782]",0
2026-07-14T08:36:29.245238+00:00,35cc7d1c65cd,pandas,2.2.2,cpu (x86_64),inner_join,10000000,,0.0,12,1,5,1.373189,"[1.3834, 1.367497, 1.373189, 1.350394, 1.740129]",0
